"name2","genre_id"
"#1.5NCラムフライス盤",15
"#1.5ラムフライス盤",62
"#11/2ラム型フライス盤",62
"#11/2ラム形フライス盤",62
"#21/2立中ぐりフライス盤",62
"#2NC立フライス盤",15
"#2ラムフライス盤",62
"#2ラム形フライス盤",62
"#2万能フライス盤",66
"#2立フライス盤",62
"#30立型マシニングセンタ",6
"#30立型マシニングセンター",6
"#30立形マシニングセンタ",6
"#40 NC立フライス盤",15
"#40 ラム形立フライス盤",62
"#40ツールキャビネット",256
"#40立マシニングセンター",6
"#40立形マシニングセンタ",6
"#40立形マシニングセンター",6
"#4NC立フライス盤",15
"#4立マシニング",6
"#50 ベッド型立フライス盤",62
"#50立型マシニングセンター",6
"#5立マシニング",6
"#6立フライス盤",62
"#6立マシニング",6
"#7立マシニング",6
"(シャープ)40 棚付",223
"(シャープ)40ツール 棚付",223
"(シャープ)50ツール 棚付",224
",外側マイクロメーター",302
"0,2KWコンプレッサー",191
"0,2Tエアープレス",269
"0,2Tチェインブロック",291
"0,4KWコンプレッサー",191
"0,5Tチェインブロック",291
"0,5Tホイスト",290
"0,65mシャーリング",128
"0,75KWコンプレッサー",191
"0,7KWコンプレッサー",191
"0.015kw小型レバーシブルモーター1山",316
"0.06Tチェーンブロック",291
"0.06Tホイスト",290
"0.12Tチェーンブロック",291
"0.12Tホイスト",290
"0.13Tホイスト",290
"0.15Tジブクレーン",286
"0.15Tチェーンブロック",291
"0.15Tホイスト",290
"0.16Tチェーンブロック",297
"0.16T門型クレーン",285
"0.18Tホイスト",290
"0.18kWエアーコンプレッサー",191
"0.1Tジブクレーン",286
"0.1Tチェーンブロック",291
"0.1Tホイスト",290
"0.1T電動チェーンブロック",291
"0.1kWエアーコンプレッサー",191
"0.1kwギアードモーター",318
"ギヤモーター",318
"GTRギヤモートル",318
"0.24Kチェインブロック",291
"0.24Tジブクレーン",286
"0.24Tチェーンブロック",291
"0.25T 電動チェンブロック",291
"0.25Tジブクレーン",286
"0.25Tチェーンブロック",291
"0.25Tホイスト",290
"0.25kw標準横型モーター",316
"0.28kWエアーコンプレッサー",191
"0.2KWコンプレッサー",191
"0.2Tエアープレス",269
"0.2Tジブクレーン",286
"0.2Tチェーンブロック",291
"0.2Tホイスト",290
"0.2T電動チェインブロック",291
"0.2kWエアーコンプレッサー",191
"0.2kwコンプレッサー",191
"0.2kw標準横型モーター",316
"エアモーター",316
"0.31kWエアーコンプレッサー",191
"0.35kWエアーコンプレッサー",191
"0.3Tエアープレス",269
"0.3Tチェーンブロック",291
"0.3Tプレス",44
"0.45Tエアープレス",269
"0.45Tチェーンブロック",291
"0.45Tフォークリフト",289
"0.45kWエアーコンプレッサー",191
"0.48Tチェーンブロック",291
"0.49Tジブクレーン",286
"0.49Tチェーンブロック",291
"0.49Tホイスト",290
"0.49T電動チェーンブロック",291
"0.49T門型クレーン",285
"0.4KWコンプレッサー",191
"0.4M油圧ベンダー",146
"0.4kWエアーコンプレッサー",191
"0.4kWエアーコンプレッサー(タイにて在庫)",191
"0.4kwギアードモーター",318
"0.4kwコンプレッサー",191
"0.4kw標準横型モーター",316
"0.5T エアプレス",44
"0.5Tエア-ホイスト",290
"0.5Tエアープレス",269
"0.5Tチェーンブロック",291
"0.5Tフォークリフト",289
"0.5Tプレス",44
"0.5Tホイスト",290
"0.5T天井走行クレーン",284
"0.5tトロリー 巾125",297
"0.6Tチェーンブロック",291
"0.6Tフォークリフト",289
"0.6kWエアーコンプレッサー",191
"0.71kWエアーコンプレッサー",191
"0.75KWコンプレッサー",191
"0.75Kw エアーコンプレッサー",191
"0.75Tエアープレス",269
"0.75kWエアーコンプレッサー",191
"0.75kWパッケージコンプレッサー",191
"0.75kwギアードモーター",318
"0.75kwコンプレッサー",191
"0.75kw標準横型モーター",316
"0.7Tフォークリフト",289
"0.7kWエアーコンプレッサー",191
"0.85kWエアーコンプレッサー",191
"0.86m 旋盤",232
"0.8Tフォークリフト",289
"0.95Tチェーンブロック",291
"0.95kWエアーコンプレッサー",191
"0.9Tチェーンブロック",291
"0.9Tチェインブロック",291
"0.9Tフォークリフト",289
"0.9Tホイスト",290
"1,0Tチェインブロック",291
"1,2M油圧プレスブレーキ",146
"1,2m油圧シャーリング",129
"1,5KWコンプレッサー",191
"1,5Tフォークリフト",289
"1.0Tチェーンブロック",291
"1.0Tフォークリフト",289
"1.0Tプレス",44
"1.0Tホイスト",290
"1.1Tフォークリフト",289
"1.1kWエアーコンプレッサー",191
"1.25Tフォークリフト",289
"1.25mシャーリング",128
"1.2M油圧ベンダー",146
"1.2Tフォークリフト",289
"1.2mギャップシャーリング",128
"1.2mシャーリング",128
"1.2m油圧プレスブレーキ",146
"1.2m油圧ベンダー",146
"1.35Tフォークリフト",289
"1.3Tフォークリフト",289
"1.45Tフォークリフト",289
"1.4Tフォークリフト",289
"1.5KWコンプレッサー",191
"1.5Kw エアーコンプレッサー",191
"1.5Tエアープレス",269
"1.5Tエアプレス",44
"1.5Tチェーンブロック",291
"1.5Tフォークリフト",289
"1.5Tプレス",44
"1.5Tホイスト",290
"1.5T懸垂型ホイスト",290
"1.5T天井走行クレーン",284
"1.5T電動ハンドリフト",289
"1.5T門型クレーン",285
"1.5kWエアーコンプレッサー",191
"1.5kWエンジンコンプレッサー",214
"1.5kWスクロールコンプレッサー",191
"1.5kwギアードモーター",318
"1.5kwコンプレッサー",191
"1.5kw標準横型モーター",316
"1.5mノギス",301
"1.6Tフォークリフト",289
"1.6kvaガソリン発電機",323
"1.75Tフォークリフト",289
"1.8Tフォークリフト",289
"1.8tonフォークリフト",289
"1.95Tフォークリフト",289
"1/2t ホイスト",290
"1/2ガイド",401
"1/2ガイドとガイドキー1.1/2",401
"10.5m旋盤",52
"1000T鍛造プレス",47
"1000T油圧プレス",46
"1000mm OSS精密石定盤 OS-102",299
"1000mmサーボベンダー",190
"1000mmノギス",301
"1000mmバンドソー",152
"1000mmメカシャーリング",128
"1000mmラジアルボール盤",88
"1000mm石定盤",299
"1000mm足踏みシャーリング",136
"1000mm定盤",299
"1000mm鉄定盤",299
"1000mm油圧ベンダー",146
"1005mm定盤",299
"100T ダイスポティングプレス",50
"100Tダイスポッティングプレス",50
"100Tフリクションプレス",270
"100Tプレス",44
"100Tメカプレス",50
"100T鍛造プレス",47
"100T門型プレス",45
"100T油圧プレス",46
"100T油圧プレス（タイにて在庫）",46
"100kvaトランス",327
"100mmバイス",298
"100mmバンドソー",152
"100mm油圧ベンダー",146
"1030mm定盤",299
"1040mmメカシャーリング",128
"1050mmメカシャーリング",128
"1060mm定盤",299
"1070mm定盤",299
"1070mm油圧ベンダー",146
"1080mm定盤",299
"10Tエアープレス",269
"10Tサーボプレス",189
"10Tダイニングプレス",50
"10Tチェーンブロック",291
"10Tフォークリフト",289
"10Tプレス",44
"10Tプレス（タイにて在庫）",44
"10Tホーニングプレス",271
"10Tホイスト",290
"10T高速プレス",45
"10T鍛造プレス",47
"10T天井走行クレーン",284
"10T門型プレス",45
"10T油圧クリッカー",46
"10T油圧プレス",46
"10T油圧プレス(タイにて在庫)",46
"10T油圧プレス（タイにて在庫）",46
"10kWエアーコンプレッサー",191
"10kvaトランス",327
"10mmバンドソー",152
"10mm卓上ボール盤",86
"10mm油圧シャーリング",129
"10m旋盤",52
"10ton油圧プレス",46
"10tクレーン用ガーター",297
"10面コ-ナ-ラジアス",135
"11.25kWエアーコンプレッサー",191
"1100mmボルスタ(アマダ110T用)",299
"1100mmラジアルボール盤",88
"1100mm定盤",299
"1109010",229
"110TONパワープレス",44
"110Tサーボプレス",189
"110Tダブルクランクプレス",50
"110Tプレス",44
"110Tプレス（タイにて在庫）",44
"110Tプレスブレーキ",146
"110Tリンクプレス",44
"110T門型プレス",45
"110T油圧プレス",46
"110mmスロッター",103
"110tプレス",44
"1140mm定盤",299
"1150mm ラジアルボール盤",88
"1150mmラジアルボール盤",88
"1170mm定盤",299
"1180mm定盤",299
"1195mm定盤",299
"11KWパッケ-ジベビコン",191
"11Kw エアーコンプレッサー",191
"11kWエアーコンプレッサー",191
"11kWパッケージコンプレッサー",191
"11kWレシプロコンプレッサー",191
"11kwVSモーター",319
"11kwコンプレッサー",191
"11kw標準横型モーター",316
"11mm卓上ボール盤",86
"11尺切落付旋盤",52
"11尺普通旋盤",52
"12.7mm卓上ボール盤",86
"1200T油圧プレス",46
"1200mmバンドソー",152
"1200mmメカシャーリング",128
"1200mmメカベンダー",145
"1200mmラジアルボール盤",88
"1200mm石定盤",299
"1200mm定盤",299
"1200mm蜂ノ巣定盤",299
"1200mm油圧シャーリング",129
"1200mm油圧ベンダー",146
"1200m定盤",299
"1200×2400mm作業台",299
"120mmバンドソー",152
"1220mmメカシャーリング",128
"1220mm定盤",299
"1220mm網定盤",299
"1220mm油圧シャーリング",129
"1230mmメカシャーリング",128
"1230mm定盤",299
"1240mmメカシャーリング",128
"1240mm油圧ベンダー",146
"1250mm 石定盤",299
"1250mmサーボベンダー",190
"サーボブレーキ(サーボベンダー)",190
"1250mmシャーリング",128
"1250mmメカシャーリング",128
